ID,Data,Customer ID,Sexo,Idade,Categoria,Quantidade,Preco por Unidade,Total
261,2023-08-05,CUST261,Homem,21,Roupas,2,25,50
262,2023-07-30,CUST262,Mulher,32,Beleza,4,30,120
263,2023-08-28,CUST263,Homem,23,Beleza,2,30,60
264,2023-01-28,CUST264,Homem,47,Roupas,3,300,900
265,2023-12-11,CUST265,Homem,55,Roupas,3,300,900
266,2023-12-01,CUST266,Mulher,19,Eletronicos,2,30,60
267,2023-11-27,CUST267,Mulher,32,Beleza,3,30,90
268,2023-02-20,CUST268,Mulher,28,Eletronicos,1,30,30
269,2023-02-01,CUST269,Homem,25,Roupas,4,500,2000
270,2023-07-26,CUST270,Homem,43,Eletronicos,1,300,300
271,2023-06-23,CUST271,Mulher,62,Beleza,4,30,120
272,2023-02-25,CUST272,Mulher,61,Eletronicos,2,50,100
273,2023-05-08,CUST273,Mulher,22,Beleza,1,50,50
274,2023-04-09,CUST274,Mulher,23,Roupas,2,500,1000
275,2023-04-08,CUST275,Homem,43,Roupas,2,500,1000
276,2023-10-02,CUST276,Mulher,21,Beleza,4,25,100
277,2023-08-18,CUST277,Homem,36,Roupas,4,25,100
278,2023-03-13,CUST278,Mulher,37,Roupas,4,25,100
279,2023-08-05,CUST279,Homem,50,Roupas,1,500,500
280,2023-04-04,CUST280,Mulher,37,Roupas,3,500,1500
281,2023-05-23,CUST281,Mulher,29,Beleza,4,500,2000
282,2023-08-25,CUST282,Mulher,64,Eletronicos,4,50,200
283,2023-05-08,CUST283,Mulher,18,Eletronicos,1,500,500
284,2023-02-08,CUST284,Homem,43,Roupas,4,50,200
285,2023-08-15,CUST285,Mulher,31,Eletronicos,1,25,25
286,2023-10-09,CUST286,Homem,55,Eletronicos,2,25,50
287,2023-02-20,CUST287,Homem,54,Roupas,4,25,100
288,2023-01-26,CUST288,Homem,28,Roupas,4,30,120
289,2023-11-30,CUST289,Homem,53,Eletronicos,2,30,60
290,2023-10-04,CUST290,Mulher,30,Beleza,2,300,600
291,2023-01-08,CUST291,Homem,60,Roupas,2,300,600
292,2023-02-17,CUST292,Homem,20,Beleza,4,300,1200
293,2023-05-02,CUST293,Homem,50,Eletronicos,3,30,90
294,2023-03-27,CUST294,Mulher,23,Roupas,3,30,90
295,2023-07-28,CUST295,Mulher,27,Beleza,3,300,900
296,2023-09-06,CUST296,Mulher,22,Roupas,4,300,1200
297,2023-09-04,CUST297,Mulher,40,Eletronicos,2,500,1000
298,2023-04-20,CUST298,Homem,27,Beleza,4,300,1200
299,2023-07-25,CUST299,Homem,61,Eletronicos,2,500,1000
300,2023-01-31,CUST300,Mulher,19,Eletronicos,4,50,200
301,2023-03-26,CUST301,Homem,30,Roupas,4,30,120
302,2023-07-14,CUST302,Homem,57,Beleza,2,300,600
303,2023-01-02,CUST303,Homem,19,Eletronicos,3,30,90
304,2023-07-19,CUST304,Mulher,37,Eletronicos,2,30,60
305,2023-05-16,CUST305,Mulher,18,Beleza,1,30,30
306,2023-08-21,CUST306,Homem,54,Eletronicos,1,50,50
307,2023-05-27,CUST307,Mulher,26,Eletronicos,2,25,50
308,2023-08-05,CUST308,Mulher,34,Beleza,4,300,1200
309,2023-12-23,CUST309,Mulher,26,Beleza,1,25,25
310,2023-10-12,CUST310,Mulher,28,Beleza,1,25,25
311,2023-12-05,CUST311,Mulher,32,Beleza,4,25,100
312,2023-09-07,CUST312,Homem,41,Roupas,4,30,120
313,2023-03-21,CUST313,Mulher,55,Beleza,3,500,1500
314,2023-04-08,CUST314,Homem,52,Roupas,4,30,120
315,2023-06-01,CUST315,Homem,47,Roupas,2,30,60
316,2023-04-22,CUST316,Mulher,48,Roupas,2,25,50
317,2023-01-30,CUST317,Homem,22,Eletronicos,3,30,90
318,2023-10-24,CUST318,Homem,61,Roupas,1,25,25
319,2023-10-05,CUST319,Homem,31,Roupas,1,500,500
320,2023-02-01,CUST320,Mulher,28,Eletronicos,4,300,1200
321,2023-06-10,CUST321,Mulher,26,Eletronicos,2,25,50
322,2023-01-30,CUST322,Homem,51,Eletronicos,1,500,500
323,2023-01-26,CUST323,Mulher,29,Beleza,3,300,900
324,2023-10-27,CUST324,Mulher,52,Eletronicos,3,50,150
325,2023-09-02,CUST325,Mulher,52,Eletronicos,2,25,50
326,2023-09-15,CUST326,Mulher,18,Roupas,3,25,75
327,2023-09-29,CUST327,Homem,57,Eletronicos,3,50,150
328,2023-03-22,CUST328,Homem,39,Beleza,2,50,100
329,2023-01-30,CUST329,Mulher,46,Eletronicos,4,25,100
330,2023-09-18,CUST330,Mulher,25,Beleza,4,50,200
331,2023-02-11,CUST331,Homem,28,Eletronicos,3,30,90
332,2023-04-06,CUST332,Homem,58,Eletronicos,4,300,1200
333,2023-02-05,CUST333,Mulher,54,Eletronicos,4,300,1200
334,2023-11-01,CUST334,Homem,31,Eletronicos,3,300,900
335,2023-02-04,CUST335,Mulher,47,Beleza,4,30,120
336,2023-12-12,CUST336,Mulher,52,Beleza,3,50,150
337,2023-05-01,CUST337,Homem,38,Roupas,1,500,500
338,2023-07-26,CUST338,Homem,54,Beleza,2,50,100
339,2023-03-03,CUST339,Mulher,22,Eletronicos,2,25,50
340,2023-10-19,CUST340,Mulher,36,Roupas,4,300,1200
341,2023-05-07,CUST341,Homem,31,Roupas,4,50,200
342,2023-10-24,CUST342,Mulher,43,Roupas,4,500,2000
343,2023-11-01,CUST343,Homem,21,Eletronicos,2,25,50
344,2023-01-21,CUST344,Mulher,42,Beleza,1,30,30
345,2023-11-14,CUST345,Homem,62,Eletronicos,1,30,30
346,2023-02-11,CUST346,Homem,59,Roupas,2,500,1000
347,2023-08-03,CUST347,Homem,42,Eletronicos,1,25,25
348,2023-12-03,CUST348,Mulher,35,Eletronicos,2,300,600
349,2023-10-26,CUST349,Mulher,57,Beleza,1,50,50
350,2023-10-17,CUST350,Homem,25,Beleza,3,25,75
351,2023-09-25,CUST351,Mulher,56,Roupas,3,30,90
352,2023-06-11,CUST352,Homem,57,Eletronicos,2,500,1000
353,2023-05-14,CUST353,Homem,31,Eletronicos,1,500,500
354,2023-04-15,CUST354,Mulher,49,Beleza,4,50,200
355,2023-12-09,CUST355,Mulher,55,Eletronicos,1,500,500
356,2023-06-10,CUST356,Homem,50,Eletronicos,3,500,1500
357,2023-05-03,CUST357,Mulher,40,Eletronicos,3,25,75
358,2023-05-16,CUST358,Mulher,32,Beleza,1,300,300
359,2023-07-22,CUST359,Homem,50,Roupas,1,50,50
360,2023-03-09,CUST360,Homem,42,Roupas,4,25,100
361,2023-12-10,CUST361,Mulher,34,Eletronicos,4,300,1200
362,2023-11-27,CUST362,Homem,50,Roupas,1,25,25
363,2023-06-03,CUST363,Homem,64,Beleza,1,25,25
364,2023-08-23,CUST364,Mulher,19,Beleza,1,500,500
365,2023-06-11,CUST365,Homem,31,Roupas,1,300,300
366,2023-02-07,CUST366,Homem,57,Roupas,2,50,100
367,2023-01-05,CUST367,Mulher,57,Eletronicos,1,50,50
368,2023-08-23,CUST368,Mulher,56,Roupas,4,300,1200
369,2023-11-15,CUST369,Homem,23,Eletronicos,3,500,1500
370,2023-10-16,CUST370,Homem,23,Eletronicos,2,30,60
371,2023-02-21,CUST371,Mulher,20,Beleza,1,25,25
372,2023-02-07,CUST372,Mulher,24,Beleza,3,500,1500
373,2023-10-03,CUST373,Mulher,25,Beleza,2,300,600
374,2023-04-20,CUST374,Mulher,59,Beleza,3,25,75
375,2023-09-17,CUST375,Homem,32,Roupas,1,50,50
376,2023-05-16,CUST376,Mulher,64,Beleza,1,30,30
377,2023-03-09,CUST377,Mulher,46,Roupas,4,50,200
378,2023-06-28,CUST378,Homem,50,Beleza,1,300,300
379,2023-02-05,CUST379,Mulher,47,Roupas,1,25,25
380,2023-05-06,CUST380,Homem,56,Eletronicos,2,300,600
381,2023-07-09,CUST381,Mulher,44,Roupas,4,25,100
382,2023-05-26,CUST382,Mulher,53,Roupas,2,500,1000
383,2023-03-22,CUST383,Mulher,46,Beleza,3,30,90
384,2023-08-13,CUST384,Homem,55,Roupas,1,500,500
385,2023-10-06,CUST385,Homem,50,Eletronicos,3,500,1500
386,2023-12-27,CUST386,Mulher,54,Eletronicos,2,300,600
387,2023-06-04,CUST387,Homem,44,Beleza,1,30,30
388,2023-11-10,CUST388,Homem,50,Eletronicos,1,25,25
389,2023-12-01,CUST389,Homem,21,Roupas,2,25,50
390,2023-09-28,CUST390,Homem,39,Eletronicos,2,50,100
391,2023-01-05,CUST391,Homem,19,Beleza,2,25,50
392,2023-12-08,CUST392,Homem,27,Roupas,2,300,600
393,2023-10-11,CUST393,Mulher,22,Beleza,2,500,1000
394,2023-06-03,CUST394,Mulher,27,Roupas,1,500,500
395,2023-12-06,CUST395,Homem,50,Eletronicos,2,500,1000
396,2023-02-23,CUST396,Mulher,55,Beleza,1,30,30
397,2023-03-10,CUST397,Mulher,30,Beleza,1,25,25
398,2023-05-16,CUST398,Mulher,48,Roupas,2,300,600
399,2023-03-01,CUST399,Mulher,64,Beleza,2,30,60
400,2023-02-24,CUST400,Homem,53,Roupas,4,50,200
401,2023-10-11,CUST401,Mulher,62,Roupas,1,300,300
402,2023-03-21,CUST402,Mulher,41,Roupas,2,300,600
403,2023-05-20,CUST403,Homem,32,Roupas,2,300,600
404,2023-05-25,CUST404,Homem,46,Eletronicos,2,500,1000
405,2023-11-06,CUST405,Mulher,25,Roupas,4,300,1200
406,2023-04-18,CUST406,Mulher,22,Beleza,4,25,100
407,2023-06-25,CUST407,Mulher,46,Eletronicos,3,300,900
408,2023-04-15,CUST408,Mulher,64,Beleza,1,500,500
409,2023-12-18,CUST409,Mulher,21,Eletronicos,3,300,900
410,2023-11-21,CUST410,Mulher,29,Roupas,2,50,100
411,2023-05-16,CUST411,Homem,62,Eletronicos,4,50,200
412,2023-09-16,CUST412,Mulher,19,Eletronicos,4,500,2000
413,2023-09-08,CUST413,Mulher,44,Beleza,3,25,75
414,2023-05-09,CUST414,Homem,48,Beleza,4,25,100
415,2023-01-27,CUST415,Homem,53,Roupas,2,30,60
416,2023-02-17,CUST416,Homem,53,Eletronicos,4,500,2000
417,2023-11-21,CUST417,Homem,43,Eletronicos,3,300,900
418,2023-08-05,CUST418,Mulher,60,Eletronicos,2,500,1000
419,2023-05-22,CUST419,Mulher,44,Roupas,3,30,90
420,2023-01-23,CUST420,Mulher,22,Roupas,4,500,2000
421,2023-01-02,CUST421,Mulher,37,Roupas,3,500,1500
422,2023-06-20,CUST422,Mulher,28,Roupas,3,30,90
423,2023-03-08,CUST423,Mulher,27,Roupas,1,25,25
424,2023-11-23,CUST424,Homem,57,Beleza,4,300,1200
425,2023-05-15,CUST425,Mulher,55,Eletronicos,4,30,120
426,2023-03-24,CUST426,Homem,23,Eletronicos,3,50,150
427,2023-08-15,CUST427,Homem,25,Eletronicos,1,25,25
428,2023-10-10,CUST428,Mulher,40,Eletronicos,4,50,200
429,2023-12-28,CUST429,Homem,64,Eletronicos,2,25,50
